,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
0,1,-28.753978,57.663116,8414.063915,510,8414.068222,8414.059608,0,5,/datax/scratch/wlll2x/mars_midres_coarse968/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002_coarse968.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
1,2,47.923296,33.142376,8414.063956,516,8414.056778,8414.071135,0,7,/datax/scratch/wlll2x/mars_midres_coarse968/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002_coarse968.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
2,3,-9.584659,88.828133,8414.063925,511,8414.065361,8414.06249,0,3,/datax/scratch/wlll2x/mars_midres_coarse968/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002_coarse968.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
3,4,-47.923296,33.122158,8414.061044,508,8414.068222,8414.053865,0,6,/datax/scratch/wlll2x/mars_midres_coarse968/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002_coarse968.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
4,5,47.923296,207.93251,8414.473083,365,8414.465904,8414.480261,0,33,/datax/scratch/wlll2x/mars_midres_coarse968/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002_coarse968.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
5,6,47.923296,140.886307,8414.473083,366,8414.465904,8414.480261,0,33,/datax/scratch/wlll2x/mars_midres_coarse968/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002_coarse968.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
6,7,47.923296,62.097294,8414.473083,374,8414.465904,8414.480261,0,33,/datax/scratch/wlll2x/mars_midres_coarse968/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002_coarse968.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
7,8,47.923296,222.605438,8414.473083,382,8414.465904,8414.480261,0,33,/datax/scratch/wlll2x/mars_midres_coarse968/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002_coarse968.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
8,9,47.923296,180.790634,8414.473083,383,8414.465904,8414.480261,0,33,/datax/scratch/wlll2x/mars_midres_coarse968/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002_coarse968.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
9,10,-47.923296,215.885773,8414.438699,375,8414.445877,8414.431521,0,9,/datax/scratch/wlll2x/mars_midres_coarse968/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002_coarse968.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
