,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
0,1,-9.584659,209.795883,11249.403472,721,11249.404907,11249.402036,0,6,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
1,2,28.753978,193.572403,11250.5994,305,11250.595093,11250.603707,0,7,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
2,3,47.923296,3090.191406,11249.706771,621,11249.699593,11249.713949,0,14,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
3,4,47.923296,1307.977417,11249.706771,622,11249.699593,11249.713949,0,14,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
4,5,-28.753978,5453268.0,11249.992832,510,11249.997139,11249.988525,0,12,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
5,6,47.923296,145.654922,11249.403502,724,11249.396324,11249.410681,0,9,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
6,7,47.923296,114.932007,11249.403502,725,11249.396324,11249.410681,0,9,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
7,8,47.923296,72.438637,11249.403502,726,11249.396324,11249.410681,0,9,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
8,9,47.923296,28.297024,11249.403502,727,11249.396324,11249.410681,0,9,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
9,10,-38.338637,87.76342,11249.719599,608,11249.725342,11249.713857,0,5,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
10,11,-38.338637,4474.671875,11249.699572,614,11249.705315,11249.693829,0,7,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
11,12,28.753978,5930.185547,11250.296131,409,11250.291824,11250.300438,0,13,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
12,13,28.753978,117.801216,11250.296131,415,11250.291824,11250.300438,0,13,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
13,14,-28.753978,191.397141,11250.596508,301,11250.600815,11250.592201,0,6,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
14,15,-47.923296,3286517.0,11249.992822,508,11250.0,11249.985643,0,11,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
15,16,-38.338637,4126792.75,11249.991396,509,11249.997139,11249.985654,0,12,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
16,17,38.338637,4474.671875,11250.294706,410,11250.288963,11250.300449,0,13,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
17,18,47.923296,149.298691,11250.59941,306,11250.592232,11250.606588,0,9,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
18,19,47.923296,116.84359,11250.59941,307,11250.592232,11250.606588,0,9,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
19,20,47.923296,71.754791,11250.59941,308,11250.592232,11250.606588,0,9,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
20,21,47.923296,30.655252,11250.59941,309,11250.592232,11250.606588,0,9,/datax/scratch/wlll2x/mars_midres/h5spliced_blc10111213141516o7o0212223242526o7o031323334353637_guppi_59256_66265_DIAG_Mars2020_0011.rawspec.0002.h5,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,1.073742,-2861.022949,47.923296,299.573969,,on_table_1,,,0.0
