Target,Session,Band,Cadence ID,Frequency,.h5 path,.dat path,Time
NGC7640,AGBT19B_999_121,L,47043,1688,/datag/pipeline/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_08450_NGC7640_0033.gpuspec.0000.h5,/home/obs/turboseti/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_08450_NGC7640_0033.gpuspec.0000/blc73_guppi_58832_08450_NGC7640_0033.gpuspec.0000.dat,2019-12-15 02:20:50
NGC7640,AGBT19B_999_121,L,47043,1688,/datag/pipeline/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_08767_HIP115723_0034.gpuspec.0000.h5,/home/obs/turboseti/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_08767_HIP115723_0034.gpuspec.0000/blc73_guppi_58832_08767_HIP115723_0034.gpuspec.0000.dat,2019-12-15 02:20:50
NGC7640,AGBT19B_999_121,L,47043,1688,/datag/pipeline/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_09084_NGC7640_0035.gpuspec.0000.h5,/home/obs/turboseti/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_09084_NGC7640_0035.gpuspec.0000/blc73_guppi_58832_09084_NGC7640_0035.gpuspec.0000.dat,2019-12-15 02:20:50
NGC7640,AGBT19B_999_121,L,47043,1688,/datag/pipeline/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_09400_HIP115106_0036.gpuspec.0000.h5,/home/obs/turboseti/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_09400_HIP115106_0036.gpuspec.0000/blc73_guppi_58832_09400_HIP115106_0036.gpuspec.0000.dat,2019-12-15 02:20:50
NGC7640,AGBT19B_999_121,L,47043,1688,/datag/pipeline/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_09716_NGC7640_0037.gpuspec.0000.h5,/home/obs/turboseti/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_09716_NGC7640_0037.gpuspec.0000/blc73_guppi_58832_09716_NGC7640_0037.gpuspec.0000.dat,2019-12-15 02:20:50
NGC7640,AGBT19B_999_121,L,47043,1688,/datag/pipeline/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_10034_HIP115708_0038.gpuspec.0000.h5,/home/obs/turboseti/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_10034_HIP115708_0038.gpuspec.0000/blc73_guppi_58832_10034_HIP115708_0038.gpuspec.0000.dat,2019-12-15 02:20:50
NGC0185,AGBT19B_999_121,L,47049,1688,/datag/pipeline/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_10405_NGC0185_0039.gpuspec.0000.h5,/home/obs/turboseti/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_10405_NGC0185_0039.gpuspec.0000/blc73_guppi_58832_10405_NGC0185_0039.gpuspec.0000.dat,2019-12-15 02:53:25
NGC0185,AGBT19B_999_121,L,47049,1688,/datag/pipeline/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_10719_HIP2860_0040.gpuspec.0000.h5,/home/obs/turboseti/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_10719_HIP2860_0040.gpuspec.0000/blc73_guppi_58832_10719_HIP2860_0040.gpuspec.0000.dat,2019-12-15 02:53:25
NGC0185,AGBT19B_999_121,L,47049,1688,/datag/pipeline/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_11033_NGC0185_0041.gpuspec.0000.h5,/home/obs/turboseti/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_11033_NGC0185_0041.gpuspec.0000/blc73_guppi_58832_11033_NGC0185_0041.gpuspec.0000.dat,2019-12-15 02:53:25
NGC0185,AGBT19B_999_121,L,47049,1688,/datag/pipeline/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_11352_HIP2514_0042.gpuspec.0000.h5,/home/obs/turboseti/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_11352_HIP2514_0042.gpuspec.0000/blc73_guppi_58832_11352_HIP2514_0042.gpuspec.0000.dat,2019-12-15 02:53:25
NGC0185,AGBT19B_999_121,L,47049,1688,/datag/pipeline/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_11671_NGC0185_0043.gpuspec.0000.h5,/home/obs/turboseti/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_11671_NGC0185_0043.gpuspec.0000/blc73_guppi_58832_11671_NGC0185_0043.gpuspec.0000.dat,2019-12-15 02:53:25
NGC0185,AGBT19B_999_121,L,47049,1688,/datag/pipeline/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_11989_HIP2596_0044.gpuspec.0000.h5,/home/obs/turboseti/AGBT19B_999_121/blc73_blp03/blc73_guppi_58832_11989_HIP2596_0044.gpuspec.0000/blc73_guppi_58832_11989_HIP2596_0044.gpuspec.0000.dat,2019-12-15 02:53:25
