Target,Session,Band,Cadence ID,Frequency,.h5 path,.dat path,Time
AND_XIV,AGBT18B_999_07,S,30225,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_31297_And_XIV_0013.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_31297_And_XIV_0013.gpuspec.0000/blc07_guppi_58348_31297_And_XIV_0013.gpuspec.0000.dat,2018-08-18 08:41:37
AND_XIV,AGBT18B_999_07,S,30225,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_31667_HIP3301_0014.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_31667_HIP3301_0014.gpuspec.0000/blc07_guppi_58348_31667_HIP3301_0014.gpuspec.0000.dat,2018-08-18 08:41:37
AND_XIV,AGBT18B_999_07,S,30225,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_32034_And_XIV_0015.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_32034_And_XIV_0015.gpuspec.0000/blc07_guppi_58348_32034_And_XIV_0015.gpuspec.0000.dat,2018-08-18 08:41:37
AND_XIV,AGBT18B_999_07,S,30225,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_32395_HIP3312_0016.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_32395_HIP3312_0016.gpuspec.0000/blc07_guppi_58348_32395_HIP3312_0016.gpuspec.0000.dat,2018-08-18 08:41:37
AND_XIV,AGBT18B_999_07,S,30225,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_32754_And_XIV_0017.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_32754_And_XIV_0017.gpuspec.0000/blc07_guppi_58348_32754_And_XIV_0017.gpuspec.0000.dat,2018-08-18 08:41:37
AND_XIV,AGBT18B_999_07,S,30225,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_33111_HIP3805_0018.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_33111_HIP3805_0018.gpuspec.0000/blc07_guppi_58348_33111_HIP3805_0018.gpuspec.0000.dat,2018-08-18 08:41:37
AND_XI,AGBT18B_999_07,S,30231,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_33449_And_XI_0019.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_33449_And_XI_0019.gpuspec.0000/blc07_guppi_58348_33449_And_XI_0019.gpuspec.0000.dat,2018-08-18 09:17:29
AND_XI,AGBT18B_999_07,S,30231,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_33805_HIP3046_0020.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_33805_HIP3046_0020.gpuspec.0000/blc07_guppi_58348_33805_HIP3046_0020.gpuspec.0000.dat,2018-08-18 09:17:29
AND_XI,AGBT18B_999_07,S,30231,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_34159_And_XI_0021.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_34159_And_XI_0021.gpuspec.0000/blc07_guppi_58348_34159_And_XI_0021.gpuspec.0000.dat,2018-08-18 09:17:29
AND_XI,AGBT18B_999_07,S,30231,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_34513_HIP3109_0022.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_34513_HIP3109_0022.gpuspec.0000/blc07_guppi_58348_34513_HIP3109_0022.gpuspec.0000.dat,2018-08-18 09:17:29
AND_XI,AGBT18B_999_07,S,30231,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_34865_And_XI_0023.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_34865_And_XI_0023.gpuspec.0000/blc07_guppi_58348_34865_And_XI_0023.gpuspec.0000.dat,2018-08-18 09:17:29
AND_XI,AGBT18B_999_07,S,30231,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_35213_HIP3176_0024.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_35213_HIP3176_0024.gpuspec.0000/blc07_guppi_58348_35213_HIP3176_0024.gpuspec.0000.dat,2018-08-18 09:17:29
UGCA127,AGBT18B_999_07,S,30273,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_48089_UGCA127_0061.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_48089_UGCA127_0061.gpuspec.0000/blc07_guppi_58348_48089_UGCA127_0061.gpuspec.0000.dat,2018-08-18 13:21:29
UGCA127,AGBT18B_999_07,S,30273,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_48423_HIP29417_0062.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_48423_HIP29417_0062.gpuspec.0000/blc07_guppi_58348_48423_HIP29417_0062.gpuspec.0000.dat,2018-08-18 13:21:29
UGCA127,AGBT18B_999_07,S,30273,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_48758_UGCA127_0063.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_48758_UGCA127_0063.gpuspec.0000/blc07_guppi_58348_48758_UGCA127_0063.gpuspec.0000.dat,2018-08-18 13:21:29
UGCA127,AGBT18B_999_07,S,30273,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_49087_HIP29578_0064.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_49087_HIP29578_0064.gpuspec.0000/blc07_guppi_58348_49087_HIP29578_0064.gpuspec.0000.dat,2018-08-18 13:21:29
UGCA127,AGBT18B_999_07,S,30273,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_49416_UGCA127_0065.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_49416_UGCA127_0065.gpuspec.0000/blc07_guppi_58348_49416_UGCA127_0065.gpuspec.0000.dat,2018-08-18 13:21:29
UGCA127,AGBT18B_999_07,S,30273,1838,/datag/pipeline/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_49745_HIP29579_0066.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_07/blc47_blp07/blc07_guppi_58348_49745_HIP29579_0066.gpuspec.0000/blc07_guppi_58348_49745_HIP29579_0066.gpuspec.0000.dat,2018-08-18 13:21:29
DDO210,AGBT18B_999_64,S,34305,1838,/datag/pipeline/AGBT18B_999_64/blc07_blp07/blc07_guppi_58439_02199_DDO210_0056.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_64/blc07_blp07/blc07_guppi_58439_02199_DDO210_0056.gpuspec.0000/blc07_guppi_58439_02199_DDO210_0056.gpuspec.0000.dat,2018-11-17 00:36:39
DDO210,AGBT18B_999_64,S,34305,1838,/datag/pipeline/AGBT18B_999_64/blc07_blp07/blc07_guppi_58439_02532_HIP101811_0057.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_64/blc07_blp07/blc07_guppi_58439_02532_HIP101811_0057.gpuspec.0000/blc07_guppi_58439_02532_HIP101811_0057.gpuspec.0000.dat,2018-11-17 00:36:39
DDO210,AGBT18B_999_64,S,34305,1838,/datag/pipeline/AGBT18B_999_64/blc07_blp07/blc07_guppi_58439_02865_DDO210_0058.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_64/blc07_blp07/blc07_guppi_58439_02865_DDO210_0058.gpuspec.0000/blc07_guppi_58439_02865_DDO210_0058.gpuspec.0000.dat,2018-11-17 00:36:39
DDO210,AGBT18B_999_64,S,34305,1838,/datag/pipeline/AGBT18B_999_64/blc07_blp07/blc07_guppi_58439_03198_HIP101956_0059.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_64/blc07_blp07/blc07_guppi_58439_03198_HIP101956_0059.gpuspec.0000/blc07_guppi_58439_03198_HIP101956_0059.gpuspec.0000.dat,2018-11-17 00:36:39
DDO210,AGBT18B_999_64,S,34305,1838,/datag/pipeline/AGBT18B_999_64/blc07_blp07/blc07_guppi_58439_03531_DDO210_0060.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_64/blc07_blp07/blc07_guppi_58439_03531_DDO210_0060.gpuspec.0000/blc07_guppi_58439_03531_DDO210_0060.gpuspec.0000.dat,2018-11-17 00:36:39
DDO210,AGBT18B_999_64,S,34305,1838,/datag/pipeline/AGBT18B_999_64/blc07_blp07/blc07_guppi_58439_03861_HIP102130_0061.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_64/blc07_blp07/blc07_guppi_58439_03861_HIP102130_0061.gpuspec.0000/blc07_guppi_58439_03861_HIP102130_0061.gpuspec.0000.dat,2018-11-17 00:36:39
DDO210,AGBT18B_999_64,S,34305,1838,/datag/pipeline/AGBT18B_999_64/blc17_blp17/blc17_guppi_58439_02199_DDO210_0056.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_64/blc17_blp17/blc17_guppi_58439_02199_DDO210_0056.gpuspec.0000/blc17_guppi_58439_02199_DDO210_0056.gpuspec.0000.dat,2018-11-17 00:36:39
DDO210,AGBT18B_999_64,S,34305,1838,/datag/pipeline/AGBT18B_999_64/blc17_blp17/blc17_guppi_58439_02532_HIP101811_0057.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_64/blc17_blp17/blc17_guppi_58439_02532_HIP101811_0057.gpuspec.0000/blc17_guppi_58439_02532_HIP101811_0057.gpuspec.0000.dat,2018-11-17 00:36:39
DDO210,AGBT18B_999_64,S,34305,1838,/datag/pipeline/AGBT18B_999_64/blc17_blp17/blc17_guppi_58439_02865_DDO210_0058.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_64/blc17_blp17/blc17_guppi_58439_02865_DDO210_0058.gpuspec.0000/blc17_guppi_58439_02865_DDO210_0058.gpuspec.0000.dat,2018-11-17 00:36:39
DDO210,AGBT18B_999_64,S,34305,1838,/datag/pipeline/AGBT18B_999_64/blc17_blp17/blc17_guppi_58439_03198_HIP101956_0059.gpuspec.0000.h5,/home/obs/turboseti/AGBT18B_999_64/blc17_blp17/blc17_guppi_58439_03198_HIP101956_0059.gpuspec.0000/blc17_guppi_58439_03198_HIP101956_0059.gpuspec.0000.dat,2018-11-17 00:36:39
